ABEO|Abeona Therapeutics|Buy|APHA|153|50|$3.06 |
ABEO|Abeona Therapeutics|Buy|30 Nov|397.5|250|$1.59 |
ABEO|Abeona Therapeutics|Buy|7 Oct|634.9|500|$1.27 |
ABEO|Abeona Therapeutics|Sell|27 Nov|410.3|250|$1.64 |
ABEO|Abeona Therapeutics|Sell|9 Oct|423.33|300|$1.41 |
ADPT|Adaptive Biotechnologies|Buy|21 Jul|3962.99|100|$39.63 |
ADPT|Adaptive Biotechnologies|Sell|15 Sep|4375.29|100|$43.75 |
ADMA|ADMA Biologics|Buy|10 Nov|657.27|350|$1.88 |
 ADMA|ADMA Biologics| Buy |6 Aug|1004.5|350|$2.87 |
ADT|ADT| Buy |17 Sep|920|100|$9.20 |
 ADT|ADT|Buy|21 Sep|860.81|100|$8.61 |
AGRX|Agile Therapeutics|Buy|23 Jun|283|100|$2.83 |
AGRX|Agile Therapeutics|Buy|24 Jun|581.74|200|$2.91 |
AGRX|Agile Therapeutics|Sell|21 Aug|732.33|255|$2.87 |
AGRX|Agile Therapeutics|Sell|25 Aug|749.7|245|$3.06 |
ALDX|Aldeyra Therapeutics|Buy|13 Nov|1024.88|150|$6.83 |
ALDX|Aldeyra Therapeutics|Buy|21 Sep|1039.43|150|$6.93 |
ALDX|Aldeyra Therapeutics|Buy|22 Jun|841.5|200|$4.21 |
ALDX|Aldeyra Therapeutics|Buy|28 Oct|978.33|150|$6.52 |
ALDX|Aldeyra Therapeutics|Buy|6 Aug|1000.5|150|$6.67 |
ALDX|Aldeyra Therapeutics|Sell|15 Sep|2157.24|300|$7.19 |
ALDX|Aldeyra Therapeutics|Sell|16 Sep|706.01|100|$7.06 |
ALDX|Aldeyra Therapeutics|Sell|25 Nov|3024|450|$6.72 |
ALDX|Aldeyra Therapeutics|Sell|9 Jul|1268.3|250|$5.07 |
ALNA|Allena Pharmaceuticals|Buy|11 Sep|548.85|499|$1.10 |
ALNA|Allena Pharmaceuticals| Buy |16 Jul|407.64|258|$1.58 |
ALNA|Allena Pharmaceuticals|Buy|23 Jul|70.56|42|$1.68 |
ALNA|Allena Pharmaceuticals|Buy|5 Aug|277.78|200|$1.39 |
ALNA|Allena Pharmaceuticals|Sell|16 Sep|680.1|500|$1.36 |
GOOG|Alphabet Class C|Buy|20 Nov|3531.03|2|$1,765.52 |
AYX|Alteryx| Buy |10 Aug|1767.84|16|$110.49 |
AYX|Alteryx|Sell|15 Sep|1746.38|16|$109.15 |
AMRN|Amarin|Buy|16 Jul|670.99|100|$6.71 |
AMRN|Amarin|Sell|21 Aug|696.02|101|$6.89 |
AMD|AMD|Sell|24 Jul|346.2|5|$69.24 |
AAL|American Airlines|Buy|20 Jul|114.6|10|$11.46 |
AAL|American Airlines|Sell|10 Jun|743.86|45|$16.53 |
AAL|American Airlines|Sell|7 Oct|194.75|15|$12.98 |
AVXL|Anavex|Buy|8 Jun|597|150|$3.98 |
AVXL|Anavex|Sell|26 Aug|622.8|150|$4.15 |
APHA|Aphria|Sell|14 Aug|22.8|5|$4.56 |
APHA|Aphria|Sell|18 Jun|896.36|200|$4.48 |
APHA|Aphria|Sell|22 Jul|996.47|195|$5.11 |
APTX|Aptinyx|Buy|18 Jun|825|200|$4.13 |
APTX|Aptinyx|Buy|21 Oct|404|100|$4.04 |
APTX|Aptinyx|Buy|22 Jun|413|100|$4.13 |
APTX|Aptinyx|Buy|26 Oct|599|200|$3.00 |
APTX|Aptinyx|Buy|4 Sep|971.55|300|$3.24 |
APTX|Aptinyx|Sell|10 Aug|1248.27|299|$4.17 |
APTX|Aptinyx|Sell|9 Oct|1172.24|301|$3.89 |
AQST|Aquestive Therapeutics|Buy|16 Jul|421.94|100|$4.22 |
AQST|Aquestive Therapeutics|Buy|20 Nov|339.59|50|$6.79 |
AQST|Aquestive Therapeutics|Buy|27 Aug|380.5|50|$7.61 |
AQST|Aquestive Therapeutics|Buy|29 Oct|1037.16|200|$5.19 |
AQST|Aquestive Therapeutics|Buy|3 Jul|244.5|50|$4.89 |
AQST|Aquestive Therapeutics| Buy |4 Aug|861|150|$5.74 |
AQST|Aquestive Therapeutics|Sell|12 Nov|632.13|100|$6.32 |
AQST|Aquestive Therapeutics|Sell|15 Sep|833.15|100|$8.33 |
AQST|Aquestive Therapeutics|Sell|23 Sep|402.26|50|$8.05 |
AQST|Aquestive Therapeutics|Sell|9 Sep|1617.06|200|$8.09 |
ABUS|Arbutus Biopharma|Buy|23 Jul|725|100|$7.25 |
ABUS|Arbutus Biopharma|Buy|24 Jul|1225.76|200|$6.13 |
ABUS|Arbutus Biopharma| Buy |4 Aug|2231.88|600|$3.72 |
ABUS|Arbutus Biopharma|Sell|5 Aug|1899|450|$4.22 |
ABUS|Arbutus Biopharma|Sell|9 Oct|1437.75|450|$3.20 |
ARMP|Armata Pharmaceuticals|Buy|16 Nov|644.64|200|$3.22 |
 |Armata Pharmaceuticals|Buy|9 Sep|317.48|100|$3.17 |
AZN|AstraZeneca| Buy |17 Jul|6250|100|$62.50 |
AXGN|Axogen|Sell|2 Oct|567.5|50|$11.35 |
 |Axogen|Sell|7 Oct|609.55|50|$12.19 |
BLDP|Ballard Power Systems|Buy|21 Oct|400.75|25|$16.03 |
BAC|Bank of America|Sell|10 Jun|1913.29|70|$27.33 |
 |Bank of America|Sell|18 Aug|127.61|5|$25.52 |
BIGC|Big Commerce| Buy |18 Sep|1493.69|20|$74.68 |
 |Big Commerce|Buy|30 Oct|2115.61|29|$72.95 |
 |Big Commerce|Buy|31 Aug|589.13|5|$117.83 |
 |Big Commerce|Sell|7 Oct|2328.24|24|$97.01 |
BIOC|Biocept|Buy|5 Aug|443|500|$0.886 |
 |Biocept| Buy |7 Oct|889.2|180|$4.94 |
 |Biocept|Buy|8 Jul|300|400|$0.75 |
BTAI|BioXcel Therapeutics|Buy|14 Aug|3918.46|100|$39.18 |
 |BioXcel Therapeutics|Buy|19 Nov|489.8|10|$48.98 |
 |BioXcel Therapeutics|Buy|1 Dec|2146.72|50|$42.93 |
 |BioXcel Therapeutics|Buy|22 Sep|4179.99|100|$41.80 |
 |BioXcel Therapeutics|Buy|23 Nov|924.8|20|$46.24 |
 |BioXcel Therapeutics|Buy|28 Oct|448.89|10|$44.89 |
 |BioXcel Therapeutics|Buy|31 Jul|1797.6|40|$44.94 |
 |BioXcel Therapeutics|Buy|3 Aug|915.1|20|$45.76 |
 |BioXcel Therapeutics|Sell|16 Sep|5970.6|124|$48.15 |
 |BioXcel Therapeutics|Sell|7 Oct|5806.51|115|$50.49 |
BAC|Boeing|Sell|21 Aug|1690.4|10|$169.04 |
BYD|Boyd Gaming|Sell|22 Jul|111.95|5|$22.39 |
CZR|Caesars Entertainment|Sell|24 Jul|863.38|25|$34.54 |
CKPT|Checkpoint Therapeutics| Buy |16 Jul|449.95|250|$1.80 |
 |Checkpoint Therapeutics|Buy|22 Sep|154.75|50|$3.10 |
 CEMI|Chembio|Buy|14 Jul|565.5|100|$5.66 |
 |Chembio| Buy |15 Jul|510|100|$5.10 |
 |Chembio|Sell|21 Jul|1046|200|$5.23 |
 CDXC|ChromaDex|Buy|18 Aug|514.99|100|$5.15 |
 CIIC|CIIG Merger|Buy|1 Dec|1012.85|50|$20.26 |
 |CIIG Merger|Buy|30 Nov|543.16|25|$21.73 |
 |CIIG Merger|Buy|30 Nov|581.5|25|$23.26 |
CLDR|Cloudera|Sell|10 Jun|5807.1|500|$11.61 |
 |Cloudera|Sell|21 Jul|5836.2|500|$11.67 |
 |Cloudera|Sell|24 Jul|2967.57|258|$11.50 |
COCP|Cocrystal Pharma| Buy |13 Nov|217.5|250|$0.87 |
 |Cocrystal Pharma| Buy |1 Dec|143|100|$1.43 |
 |Cocrystal Pharma|Buy|1 Dec|162.86|100|$1.63 |
 CLGX|Corelogic|Buy|22 Jul|1710.75|25|$68.43 |
 CLGX|Corelogic|Sell|23 Jul|1709.61|25|$68.38 |
REIT|Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETNs due July 11; 2036|Buy|10 Jun|805|200|$4.03 |
REIT|Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETNs due July 11; 2036|Buy|8 Jun|968|200|$4.84 |
REIT|Credit Suisse X-Links Monthly Pay 2xLeveraged Mortgage REIT ETNs due July 11; 2036|Sell|18 Aug|1622|400|$4.06 |
CYCC|Cyclacel Pharmaceuticals| Buy |16 Jul|673.5|150|$4.49 |
 |Cyclacel Pharmaceuticals|Buy|26 Oct|507.75|150|$3.39 |
 CTSO|Cytosorbents|Buy|27 Aug|1024.18|125|$8.19 |
 |Cytosorbents|Sell|16 Sep|2103.75|250|$8.42 |
 |Delta Air Lines|Buy|12 Jul|679.5|25|$27.18 |
 |Delta Air Lines|Buy|26 Oct|794.25|25|$31.77 |
 |Denny's|Buy|9 Jul|858.89|100|$8.59 |
 |Denny's|Sell|23 Jul|883.01|100|$8.83 |
 |Direxion Daily Aerospace & Defense Bull ETF|Buy|15 Jun|980.63|75|$13.08 |
 |Direxion Daily Aerospace & Defense Bull ETF|Buy|8 Jun|1055.4|50|$21.11 |
 |Dynavax|Buy|10 Aug|1556|200|$7.78 |
 |Dynavax|Buy|10 Nov|2090.21|499|$4.19 |Older 
 |Dynavax|Buy|17 Jul|574.41|50|$11.49 |
 |Dynavax|Buy|17 Jun|1227.74|200|$6.14 |
 |Dynavax|Buy|1 Sep|1643.61|300|$5.48 |
 |Dynavax|Buy|21 Jul|464.34|45|$10.32 |
 |Dynavax|Buy|24 Jul|921.99|100|$9.22 |
 |Dynavax|Sell|27 Nov|2366.01|499|$4.74 |
 |Dynavax|Sell|29 Jun|1745.27|195|$8.95 |
 |Edesa Biotech|Buy|16 Jul|537.5|100|$5.38 |
 |Edesa Biotech|Buy|26 Jun|273.5|50|$5.47 |
 |Edesa Biotech|Sell|16 Sep|385.95|50|$7.72 |
 |Edesa Biotech|Sell|4 Sep|912.27|100|$9.12 |
 |Eldorado Resorts|Buy|13 Jul|979.25|25|$39.17 |
 |Eton Pharmaceuticals|Buy|17 Jun|593.99|100|$5.94 |
 |Eton Pharmaceuticals|Sell|21 Aug|716.01|100|$7.16 |
 |Eton Pharmaceuticals|Sell|2 Oct|706.01|100|$7.06 |
 |Everspin|Buy|10 Aug|1122.52|200|$5.61 |
 |Everspin|Sell|9 Oct|1356.14|200|$6.78 |
 |Evofem|Buy|11 Aug|598|200|$2.99 |
 |Evofem|Buy|5 Aug|300.5|100|$3.01 |
 |Evofem|Sell|31 Aug|504.75|150|$3.37 |
 |Evofem|Sell|9 Oct|434.25|150|$2.90 |
 |Evoke Pharma| Buy |11 Aug|459|85|$5.40 |
 |Evoke Pharma|Buy|19 Jul|385|100|$3.85 |
 |Evoke Pharma|Buy|28 Oct|789.54|200|$3.95 |
 |Evoke Pharma|Sell|16 Sep|902.99|185|$4.88 |
 |Exicure|Buy|16 Jun|578|200|$2.89 |
 |Exicure|Buy|18 Nov|1413|900|$1.57 |
 |Exicure|Buy|22 Jun|513.98|200|$2.57 |
 |Exicure|Buy|23 Jul|1173.55|500|$2.35 |
 |Exicure|Buy|30 Jun|235.87|100|$2.36 |
 |Exicure|Sell|27 Nov|788.32|499|$1.58 |
 |Fastly|Buy|15 Oct|924.8|10|$92.48 |
 |Fastly| Buy |7 Aug|1541|20|$77.05 |
 |Fastly|Sell|2 Oct|1961.84|20|$98.09 |
 |Fisker|Sell|25 Nov|979.34|50|$19.59 |
 |ForeScout Technologies|Sell|22 Jul|231.36|8|$28.92 |
 |ForeScout Technologies|Sell|8 Jun|2308.86|100|$23.09 |
 |Franklin Resources|Buy|20 Jul|2052|100|$20.52 |
 |Franklin Resources|Sell|10 Jun|2290.86|99|$23.14 |
 |Franklin Resources|Sell|11 Aug|2287.01|100|$22.87 |
 |Gamida Cel|Buy|29 Oct|1065.66|200|$5.33 |
 |Genetic Technologies|Buy|21 Jul|461|100|$4.61 |
 |Global Blood Therapeutics|Buy|26 Jun|323.6|5|$64.72 |
 |Heat Biologics|Buy|10 Nov|492.76|499|$0.9875 |
 |Heat Biologics|Buy|20 Aug|849|600|$1.42 |
 |Heat Biologics|Buy|20 Jul|302|100|$3.02 |
 |Heat Biologics|Buy|23 Jul|560|200|$2.80 |
 |Hyliion|Buy|30 Oct|1856|100|$18.56 |
 |iBio|Buy|15 Jul|383|100|$3.83 |
 |iBio|Buy|16 Jul|474.75|150|$3.17 |
 |iBio|Buy|24 Jul|1057|200|$5.29 |
 |iBio|Sell|20 Jul|640.5|100|$6.41 |
 |iBio|Sell|5 Aug|1534.75|350|$4.39 |
 |Immunic|Buy|24 Jun|1586.98|100|$15.87 |
 |Immunic|Buy|24 Nov|868.81|50|$17.38 |
 |Immunic|Buy|24 Sep|1084.22|70|$15.49 |
 |Immunic|Buy|26 Jun|2882.9|200|$14.41 |
 |Immunic|Buy|2 Nov|1450.82|100|$14.51 |
 |Immunic|Buy|30 Oct|1572.07|100|$15.72 |
 |Immunic|Buy|5 Aug|902|50|$18.04 |
 |Immunic|Sell|1 Dec|3648.94|200|$18.24 |
 |Immunic|Sell|20 Jul|2886|200|$14.43 |
 |Immunic|Sell|2 Oct|3216.49|170|$18.92 |
 |INmune Bio|Buy|16 Jul|1068|100|$10.68 |
 |INmune Bio|Buy|23 Jul|596.75|50|$11.94 |
 |Inovio|Sell|15 Jul|2405.37|100|$24.05 |
 |Inovio|Sell|24 Jun|2367.34|100|$23.67 |
 |Inovio|Sell|26 Jun|5414.6|200|$27.07 |
 |Intel|Buy|23 Jul|550|10|$55.00 |
 |Intel|Buy|24 Jul|511.65|10|$51.17 |
 |Intel|Sell|7 Oct|1317.75|25|$52.71 |
 |Invesco Mortgage Capital|Buy|21 Jul|681.54|200|$3.41 |
 |Invesco Mortgage Capital| Buy |22 Jun|694.5|150|$4.63 |
 |Invesco Mortgage Capital|Buy|8 Jun|619.98|100|$6.20 |
 |iQIYI|Sell|8 Jun|1748.19|100|$17.48 |
 |Itamar Medica|Buy|24 Nov|1044.44|50|$20.89 |
 |Kala Pharmaceuticals|Buy|18 Aug|897.99|100|$8.98 |
 |Kala Pharmaceuticals|Buy|27 Oct|1291.62|200|$6.46 |
 |Kala Pharmaceuticals|Buy|29 Jun|1051.99|100|$10.52 |
 |Kala Pharmaceuticals|Buy|9 Sep|839.99|100|$8.40 |
 |Kensington Capital|Buy|10 Sep|1919.99|100|$19.20 |
 |Kensington Capital|Buy|23 Sep|1689|100|$16.89 |
 |Kensington Capital|Buy|28 Oct|2374|200|$11.87 |
 |Kensington Capital|Buy|5 Sep|107.5|5|$21.50 |
 |Kezar Life Sciences|Buy|24 Nov|594.37|100|$5.94 |
 |Kodak| Buy |10 Aug|1056.2|99|$10.67 |
 |Kodak| Buy |4 Aug|1325|100|$13.25 |
 |Kodak|Buy|4 Aug|1367.99|100|$13.68 |
 |Kodak|Buy|9 Sep|1799.94|300|$6.00 |
 |Kodak| Sell |17 Sep|2250|200|$11.25 |
 |Kratos Defense & Security Solutions|Buy|22 Sep|4469.45|250|$17.88 |
 |Kratos Defense & Security Solutions|Buy|30 Oct|1824.69|100|$18.25 |
 |Kratos Defense & Security Solutions|Sell|13 Nov|2011.5|100|$20.12 |
 |Kratos Defense & Security Solutions|Sell|4 Sep|2859.7|149|$19.19 |
 |Kratos Defense & Security Solutions|Sell|9 Oct|5226.33|250|$20.91 |
 |Leap Therapeutics| Buy |17 Jun|191.7|90|$2.13 |
 |Leap Therapeutics|Buy|18 Aug|580.5|300|$1.94 |
